commodity,mom_side_label,risk_state,horizon,n_state_obs,n_end_within_h,p_end_within_h,p_survive_beyond_h,hist_n_episodes,hist_n_ended,hist_end_risk_rate,hist_duration_reliability,survival_sample_reliability
CF,DOWN,RISK,1,104,23,0.22115384615384615,0.7788461538461539,144,144,0.3958333333333333,HIGH,HIGH
CF,DOWN,RISK,2,104,64,0.6153846153846154,0.3846153846153846,144,144,0.3958333333333333,HIGH,HIGH
CF,DOWN,RISK,3,104,87,0.8365384615384616,0.16346153846153844,144,144,0.3958333333333333,HIGH,HIGH
CF,DOWN,RISK,5,104,99,0.9519230769230769,0.04807692307692313,144,144,0.3958333333333333,HIGH,HIGH
CF,DOWN,RISK,10,104,104,1.0,0.0,144,144,0.3958333333333333,HIGH,HIGH
CF,DOWN,RISK,20,104,104,1.0,0.0,144,144,0.3958333333333333,HIGH,HIGH
CF,UP,NO_RISK,1,239,129,0.5397489539748954,0.4602510460251046,156,156,0.41025641025641024,HIGH,HIGH
CF,UP,NO_RISK,2,239,193,0.8075313807531381,0.19246861924686187,156,156,0.41025641025641024,HIGH,HIGH
CF,UP,NO_RISK,3,239,220,0.9205020920502092,0.07949790794979084,156,156,0.41025641025641024,HIGH,HIGH
CF,UP,NO_RISK,5,239,235,0.9832635983263598,0.01673640167364021,156,156,0.41025641025641024,HIGH,HIGH
CF,UP,NO_RISK,10,239,239,1.0,0.0,156,156,0.41025641025641024,HIGH,HIGH
CF,UP,NO_RISK,20,239,239,1.0,0.0,156,156,0.41025641025641024,HIGH,HIGH
CF,DOWN,NO_RISK,1,212,121,0.5707547169811321,0.4292452830188679,144,144,0.3958333333333333,HIGH,HIGH
CF,DOWN,NO_RISK,2,212,167,0.7877358490566038,0.21226415094339623,144,144,0.3958333333333333,HIGH,HIGH
CF,DOWN,NO_RISK,3,212,185,0.8726415094339622,0.12735849056603776,144,144,0.3958333333333333,HIGH,HIGH
CF,DOWN,NO_RISK,5,212,206,0.9716981132075472,0.028301886792452824,144,144,0.3958333333333333,HIGH,HIGH
CF,DOWN,NO_RISK,10,212,212,1.0,0.0,144,144,0.3958333333333333,HIGH,HIGH
CF,DOWN,NO_RISK,20,212,212,1.0,0.0,144,144,0.3958333333333333,HIGH,HIGH
EB,DOWN,RISK,1,113,7,0.061946902654867256,0.9380530973451328,33,32,0.42424242424242425,MEDIUM,HIGH
EB,DOWN,RISK,2,112,13,0.11607142857142858,0.8839285714285714,33,32,0.42424242424242425,MEDIUM,HIGH
EB,DOWN,RISK,3,111,19,0.17117117117117117,0.8288288288288288,33,32,0.42424242424242425,MEDIUM,HIGH
EB,DOWN,RISK,5,109,30,0.27522935779816515,0.7247706422018348,33,32,0.42424242424242425,MEDIUM,HIGH
EB,DOWN,RISK,10,105,60,0.5714285714285714,0.4285714285714286,33,32,0.42424242424242425,MEDIUM,HIGH
EB,DOWN,RISK,20,105,93,0.8857142857142857,0.11428571428571432,33,32,0.42424242424242425,MEDIUM,HIGH
EB,UP,RISK,1,71,5,0.07042253521126761,0.9295774647887324,36,36,0.3055555555555556,MEDIUM,HIGH
EB,UP,RISK,2,71,8,0.11267605633802817,0.8873239436619719,36,36,0.3055555555555556,MEDIUM,HIGH
EB,UP,RISK,3,71,12,0.16901408450704225,0.8309859154929577,36,36,0.3055555555555556,MEDIUM,HIGH
EB,UP,RISK,5,71,22,0.30985915492957744,0.6901408450704225,36,36,0.3055555555555556,MEDIUM,HIGH
EB,UP,RISK,10,71,46,0.647887323943662,0.352112676056338,36,36,0.3055555555555556,MEDIUM,HIGH
EB,UP,RISK,20,71,70,0.9859154929577465,0.014084507042253502,36,36,0.3055555555555556,MEDIUM,HIGH
EB,UP,NO_RISK,1,244,31,0.12704918032786885,0.8729508196721312,36,36,0.3055555555555556,MEDIUM,HIGH
