symbol,family,spec_name,rep,nobs,bandwidth_p,status,convergence_flag,M_robust,pvalue,decision,reject_5pct,mc_family_status
AG,EGARCH,08_EGARCH11_t,32,2537,21.00362278239279,ok,0,0.5588517482219229,0.288131451128702,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,33,2537,21.00362278239279,ok,0,-0.8294365855015703,0.7965712967637286,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,34,2537,21.00362278239279,ok,0,-0.244548421385291,0.5965969473874779,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,35,2537,21.00362278239279,ok,0,-0.3211082313920321,0.6259358136911435,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,36,2537,21.00362278239279,ok,0,0.11712376481786967,0.4533809888708469,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,37,2537,21.00362278239279,ok,0,0.7653803823633633,0.22202253560122887,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,38,2537,21.00362278239279,ok,0,0.013200916590233529,0.49473374918571056,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,39,2537,21.00362278239279,ok,0,0.07283505104995096,0.47096868915688106,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,40,2537,21.00362278239279,ok,0,-0.43364796592584837,0.66772795119237,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,41,2537,21.00362278239279,ok,0,-0.49801070000093,0.6907617497582644,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,42,2537,21.00362278239279,ok,0,-0.5841365733138756,0.7204357848514844,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,43,2537,21.00362278239279,ok,0,0.3222049312585308,0.37364872446768316,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,44,2537,21.00362278239279,ok,0,-0.028590679205305523,0.5114044770181071,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,45,2537,21.00362278239279,ok,0,0.07255541667120406,0.47107995275287207,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,46,2537,21.00362278239279,ok,0,-0.6586416633481692,0.7449370489732428,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,47,2537,21.00362278239279,ok,0,0.204927865418938,0.4188142418759432,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,48,2537,21.00362278239279,ok,0,-0.6790582794091705,0.7514495320494203,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,49,2537,21.00362278239279,ok,0,0.26637503912198474,0.39497519343787557,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,50,2537,21.00362278239279,ok,0,-0.8319155332541273,0.7972716882784336,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,51,2537,21.00362278239279,ok,0,-0.34844213444558525,0.6362459180017621,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,52,2537,21.00362278239279,ok,0,-0.3548096260524459,0.6386338917833061,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,53,2537,21.00362278239279,ok,0,0.19080969034785883,0.4243373481879156,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,54,2537,21.00362278239279,ok,0,0.0020918326240266507,0.4991654801313631,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,55,2537,21.00362278239279,ok,0,-0.03475956636973785,0.5138642687520827,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,56,2537,21.00362278239279,ok,0,0.13649425852970198,0.4457152815517187,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,57,2537,21.00362278239279,ok,0,0.11153981954456918,0.45559414557661937,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,58,2537,21.00362278239279,ok,0,-0.14590287553310904,0.5580009692315624,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,59,2537,21.00362278239279,ok,0,0.3619063292484277,0.35871101502279545,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,60,2537,21.00362278239279,ok,0,-0.42571534002477573,0.6648423586003395,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,61,2537,21.00362278239279,ok,0,0.22500291417921164,0.41098850360105754,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,62,2537,21.00362278239279,ok,0,0.444129992196849,0.32847430175772685,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,63,2537,21.00362278239279,ok,0,0.030048704382710748,0.4880141051042194,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,64,2537,21.00362278239279,ok,0,0.27450296934563184,0.3918490610111831,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,65,2537,21.00362278239279,ok,0,0.17206886175044117,0.43169169616884895,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,66,2537,21.00362278239279,ok,0,-0.007367675565869044,0.5029392506997654,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,67,2537,21.00362278239279,ok,0,-0.6087570216137396,0.7286572475187616,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,68,2537,21.00362278239279,ok,0,0.04119771655128265,0.48356913702854487,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,69,2537,21.00362278239279,ok,0,0.3049227639538061,0.38021248887330983,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,70,2537,21.00362278239279,ok,0,1.0247494343068566,0.15274071556130653,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,71,2537,21.00362278239279,ok,0,-0.24556855593534668,0.5969918836550656,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,72,2537,21.00362278239279,ok,0,0.49756768334851453,0.3093943931677827,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,73,2537,21.00362278239279,ok,0,-0.23855796761546932,0.5942758194447466,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,74,2537,21.00362278239279,ok,0,-0.7808924388312882,0.7825671202220876,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,75,2537,21.00362278239279,ok,0,-0.6519123323748452,0.7427711356143016,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,76,2537,21.00362278239279,ok,0,-0.06880278923768528,0.5274267010695906,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,77,2537,21.00362278239279,ok,0,-0.6338467106908275,0.7369095671338831,FAIL_TO_REJECT,False,representative_fit
AG,EGARCH,08_EGARCH11_t,78,2537,21.00362278239279,ok,0,0.17402022254294025,0.4309247847098818,FAIL_TO_REJECT,False,representative_fit
